pedido_id,data,categoria,produto,quantidade,preco_unitario,receita
1021,2025-02-04,Eletrônicos,Carregador Portátil,5,390.95,1954.75
1100,2025-02-05,Vestuário,Camiseta,5,90.11,450.55
1403,2025-02-05,Casa e Decoração,Tapete,1,130.85,130.85
1233,2025-02-05,Esporte e Lazer,Garrafa Térmica,2,315.12,630.24
1603,2025-02-06,Eletrônicos,Fone Bluetooth,1,116.43,116.43
1295,2025-02-06,Casa e Decoração,Tapete,5,271.51,1357.55
1184,2025-02-07,Alimentos,Barra de Cereal,1,52.54,52.54
1045,2025-02-08,Vestuário,Tênis,1,181.89,181.89
2192,2025-02-08,Vestuário,Calça Jeans,1,84.94,84.94
1316,2025-02-08,Esporte e Lazer,Tênis de Corrida,3,96.75,290.25
1068,2025-02-08,Esporte e Lazer,Bola de Futebol,2,288.29,576.58
1573,2025-02-08,Eletrônicos,Carregador Portátil,4,292.8,1171.2
1843,2025-02-08,Eletrônicos,Smartwatch,5,296.62,1483.1
1304,2025-02-08,Vestuário,Tênis,2,214.75,429.5
2128,2025-02-08,Vestuário,Tênis,1,213.97,213.97
1174,2025-02-09,Esporte e Lazer,Garrafa Térmica,2,212.2,424.4
2001,2025-02-09,Esporte e Lazer,Kit Yoga,1,107.18,107.18
1293,2025-02-09,Eletrônicos,Fone Bluetooth,3,107.84,323.52
1019,2025-02-10,Casa e Decoração,Jogo de Panelas,1,198.29,198.29
1463,2025-02-11,Esporte e Lazer,Bola de Futebol,5,68.27,341.35
1642,2025-02-11,Vestuário,Tênis,5,80.87,404.35
1415,2025-02-11,Esporte e Lazer,Kit Yoga,1,250.04,250.04
1243,2025-02-11,Casa e Decoração,Almofada,2,179.63,359.26
1257,2025-02-11,Eletrônicos,Carregador Portátil,3,342.11,1026.33
2145,2025-02-11,Esporte e Lazer,Garrafa Térmica,3,98.7,296.1
1394,2025-02-12,Vestuário,Tênis,3,149.46,448.38
1711,2025-02-12,Esporte e Lazer,Garrafa Térmica,5,341.61,1708.05
2011,2025-02-13,Alimentos,Azeite Extra Virgem,3,12.2,36.6
2150,2025-02-14,Esporte e Lazer,Kit Yoga,1,206.31,206.31
2191,2025-02-14,Esporte e Lazer,Bola de Futebol,1,51.51,51.51
1757,2025-02-15,Casa e Decoração,Luminária,1,128.38,128.38
2172,2025-02-15,Casa e Decoração,Jogo de Panelas,5,147.19,735.95
1158,2025-02-16,Eletrônicos,Smartwatch,3,374.68,1124.04
2033,2025-02-16,Casa e Decoração,Tapete,1,73.26,73.26
1123,2025-02-16,Eletrônicos,Fone Bluetooth,1,280.82,280.82
1514,2025-02-16,Casa e Decoração,Jogo de Panelas,1,286.58,286.58
2127,2025-02-16,Alimentos,Azeite Extra Virgem,4,40.72,162.88
1550,2025-02-16,Vestuário,Calça Jeans,4,186.14,744.56
1179,2025-02-16,Eletrônicos,Smartwatch,5,241.95,1209.75
1811,2025-02-17,Esporte e Lazer,Kit Yoga,4,252.87,1011.48
1875,2025-02-17,Eletrônicos,Mouse Sem Fio,1,266.79,266.79
1866,2025-02-17,Vestuário,Tênis,4,78.16,312.64
1868,2025-02-18,Esporte e Lazer,Bola de Futebol,2,191.84,383.68
1218,2025-02-18,Eletrônicos,Mouse Sem Fio,1,127.57,127.57
1477,2025-02-18,Casa e Decoração,Luminária,4,239.15,956.6
1600,2025-02-18,Eletrônicos,Smartwatch,3,350.06,1050.18
1906,2025-02-19,Casa e Decoração,Luminária,1,154.52,154.52
1352,2025-02-19,Eletrônicos,Carregador Portátil,1,220.36,220.36
1408,2025-02-19,Alimentos,Chocolate,4,43.57,174.28
1208,2025-02-20,Esporte e Lazer,Bola de Futebol,1,325.81,325.81
1518,2025-02-20,Esporte e Lazer,Kit Yoga,2,302.14,604.28
2000,2025-02-21,Eletrônicos,Mouse Sem Fio,1,226.54,226.54
1398,2025-02-21,Alimentos,Café Especial,4,36.96,147.84
1840,2025-02-21,Eletrônicos,Fone Bluetooth,5,184.56,922.8
2101,2025-02-21,Esporte e Lazer,Tênis de Corrida,3,88.78,266.34
1035,2025-02-21,Casa e Decoração,Luminária,2,222.31,444.62
1679,2025-02-22,Casa e Decoração,Almofada,3,239.34,718.02
1107,2025-02-22,Eletrônicos,Carregador Portátil,5,377.9,1889.5
1075,2025-02-22,Casa e Decoração,Tapete,4,198.18,792.72
1961,2025-02-22,Casa e Decoração,Luminária,1,260.31,260.31
1142,2025-02-23,Casa e Decoração,Almofada,3,138.94,416.82
2093,2025-02-23,Alimentos,Café Especial,2,13.29,26.58
1678,2025-02-23,Casa e Decoração,Tapete,2,95.32,190.64
2111,2025-02-23,Eletrônicos,Mouse Sem Fio,4,206.7,826.8
2039,2025-02-23,Alimentos,Azeite Extra Virgem,1,10.48,10.48
1225,2025-02-24,Alimentos,Chocolate,2,23.54,47.08
1449,2025-02-25,Eletrônicos,Carregador Portátil,3,134.61,403.83
1994,2025-02-25,Alimentos,Café Especial,5,21.31,106.55
1523,2025-02-26,Casa e Decoração,Tapete,1,288.29,288.29
2077,2025-02-26,Vestuário,Camiseta,4,164.32,657.28
1800,2025-02-27,Esporte e Lazer,Garrafa Térmica,1,264.81,264.81
1300,2025-02-28,Eletrônicos,Fone Bluetooth,3,156.38,469.14
1910,2025-02-28,Eletrônicos,Fone Bluetooth,2,257.5,515.0
1264,2025-02-28,Vestuário,Camiseta,5,180.68,903.4
1005,2025-02-28,Vestuário,Tênis,4,244.49,977.96
1995,2025-02-28,Vestuário,Camiseta,4,169.56,678.24
2007,2025-03-01,Esporte e Lazer,Bola de Futebol,2,247.26,494.52
1561,2025-03-01,Casa e Decoração,Almofada,3,273.35,820.05
1309,2025-03-01,Esporte e Lazer,Tênis de Corrida,4,81.47,325.88
1159,2025-03-02,Eletrônicos,Smartwatch,4,337.98,1351.92
1281,2025-03-02,Esporte e Lazer,Kit Yoga,4,160.71,642.84
1822,2025-03-02,Vestuário,Jaqueta,2,165.39,330.78
1190,2025-03-03,Casa e Decoração,Almofada,5,188.84,944.2
1456,2025-03-03,Alimentos,Café Especial,5,48.01,240.05
1176,2025-03-03,Eletrônicos,Smartwatch,3,262.92,788.76
1859,2025-03-03,Eletrônicos,Carregador Portátil,1,295.44,295.44
1217,2025-03-04,Alimentos,Barra de Cereal,2,10.65,21.3
1832,2025-03-04,Alimentos,Barra de Cereal,1,20.05,20.05
1780,2025-03-04,Eletrônicos,Mouse Sem Fio,5,383.07,1915.35
2038,2025-03-05,Vestuário,Tênis,1,128.12,128.12
2049,2025-03-05,Esporte e Lazer,Kit Yoga,4,202.91,811.64
1590,2025-03-06,Esporte e Lazer,Kit Yoga,4,320.97,1283.88
1781,2025-03-06,Eletrônicos,Carregador Portátil,2,132.17,264.34
1545,2025-03-07,Eletrônicos,Mouse Sem Fio,3,370.95,1112.85
1194,2025-03-08,Alimentos,Chocolate,2,16.96,33.92
2149,2025-03-08,Vestuário,Tênis,4,41.54,166.16
1229,2025-03-08,Alimentos,Café Especial,4,21.91,87.64
2159,2025-03-09,Eletrônicos,Smartwatch,3,389.7,1169.1
1902,2025-03-09,Esporte e Lazer,Tênis de Corrida,3,168.75,506.25
1813,2025-03-09,Eletrônicos,Fone Bluetooth,4,380.69,1522.76
1542,2025-03-09,Casa e Decoração,Luminária,5,208.1,1040.5
1821,2025-03-10,Alimentos,Chocolate,2,13.13,26.26
1519,2025-03-10,Esporte e Lazer,Garrafa Térmica,5,181.29,906.45
1149,2025-03-10,Vestuário,Calça Jeans,5,112.96,564.8
1532,2025-03-10,Alimentos,Azeite Extra Virgem,2,19.56,39.12
1106,2025-03-10,Alimentos,Chocolate,1,37.69,37.69
1529,2025-03-11,Vestuário,Tênis,3,242.31,726.93
1989,2025-03-11,Eletrônicos,Carregador Portátil,4,314.56,1258.24
1526,2025-03-11,Casa e Decoração,Almofada,5,260.33,1301.65
1878,2025-03-12,Casa e Decoração,Almofada,4,135.5,542.0
1964,2025-03-13,Alimentos,Barra de Cereal,4,28.99,115.96
1607,2025-03-13,Esporte e Lazer,Tênis de Corrida,5,222.57,1112.85
1623,2025-03-14,Esporte e Lazer,Bola de Futebol,2,216.84,433.68
2074,2025-03-14,Casa e Decoração,Luminária,1,198.14,198.14
1702,2025-03-15,Esporte e Lazer,Tênis de Corrida,2,31.28,62.56
1803,2025-03-15,Vestuário,Jaqueta,3,55.87,167.61
1308,2025-03-15,Eletrônicos,Mouse Sem Fio,2,189.4,378.8
1903,2025-03-15,Esporte e Lazer,Kit Yoga,1,99.38,99.38
1520,2025-03-15,Esporte e Lazer,Garrafa Térmica,2,51.2,102.4
1888,2025-03-15,Esporte e Lazer,Kit Yoga,4,174.99,699.96
2183,2025-03-16,Vestuário,Tênis,3,76.63,229.89
1654,2025-03-16,Eletrônicos,Smartwatch,3,243.61,730.83
1051,2025-03-16,Eletrônicos,Mouse Sem Fio,4,367.54,1470.16
1175,2025-03-16,Casa e Decoração,Jogo de Panelas,1,162.5,162.5
1500,2025-03-16,Alimentos,Azeite Extra Virgem,3,59.82,179.46
1909,2025-03-16,Esporte e Lazer,Garrafa Térmica,5,42.68,213.4
1594,2025-03-17,Esporte e Lazer,Kit Yoga,4,333.92,1335.68
1844,2025-03-17,Alimentos,Barra de Cereal,1,10.66,10.66
1400,2025-03-18,Casa e Decoração,Luminária,1,171.07,171.07
1639,2025-03-18,Alimentos,Azeite Extra Virgem,4,11.55,46.2
1944,2025-03-18,Eletrônicos,Mouse Sem Fio,2,358.27,716.54
1783,2025-03-19,Vestuário,Camiseta,2,131.91,263.82
1413,2025-03-19,Esporte e Lazer,Tênis de Corrida,1,186.45,186.45
1797,2025-03-20,Alimentos,Chocolate,5,15.07,75.35
1314,2025-03-20,Alimentos,Azeite Extra Virgem,2,10.05,20.1
2043,2025-03-20,Casa e Decoração,Tapete,5,254.74,1273.7
1787,2025-03-21,Alimentos,Azeite Extra Virgem,2,50.44,100.88
1775,2025-03-22,Eletrônicos,Carregador Portátil,2,303.11,606.22
1296,2025-03-22,Vestuário,Tênis,5,140.92,704.6
1386,2025-03-23,Esporte e Lazer,Tênis de Corrida,3,307.39,922.17
1790,2025-03-24,Alimentos,Barra de Cereal,4,43.7,174.8
1613,2025-03-25,Eletrônicos,Fone Bluetooth,4,105.66,422.64
2173,2025-03-26,Eletrônicos,Fone Bluetooth,1,193.4,193.4
1166,2025-03-27,Vestuário,Calça Jeans,4,88.98,355.92
1931,2025-03-27,Casa e Decoração,Jogo de Panelas,2,122.51,245.02
1266,2025-03-27,Vestuário,Jaqueta,5,193.51,967.55
2133,2025-03-27,Alimentos,Café Especial,2,39.03,78.06
1085,2025-03-27,Eletrônicos,Fone Bluetooth,4,94.72,378.88
1985,2025-03-28,Eletrônicos,Smartwatch,1,313.51,313.51
1471,2025-03-28,Alimentos,Café Especial,5,50.11,250.55
2085,2025-03-28,Esporte e Lazer,Kit Yoga,4,325.38,1301.52
1596,2025-03-28,Eletrônicos,Smartwatch,1,92.73,92.73
1470,2025-03-28,Esporte e Lazer,Garrafa Térmica,5,37.36,186.8
1738,2025-03-29,Vestuário,Calça Jeans,5,144.77,723.85
1332,2025-03-29,Eletrônicos,Fone Bluetooth,4,395.73,1582.92
2193,2025-03-29,Casa e Decoração,Almofada,1,193.31,193.31
1937,2025-03-30,Vestuário,Jaqueta,4,203.18,812.72
1290,2025-03-30,Eletrônicos,Mouse Sem Fio,5,109.28,546.4
1384,2025-03-30,Esporte e Lazer,Tênis de Corrida,5,209.28,1046.4
1745,2025-03-30,Esporte e Lazer,Kit Yoga,1,231.52,231.52
1582,2025-03-30,Alimentos,Café Especial,3,21.32,63.96
1498,2025-03-31,Vestuário,Calça Jeans,4,196.6,786.4
1915,2025-03-31,Esporte e Lazer,Tênis de Corrida,2,211.1,422.2
2004,2025-03-31,Esporte e Lazer,Tênis de Corrida,1,141.46,141.46
1716,2025-03-31,Eletrônicos,Carregador Portátil,5,249.84,1249.2
2132,2025-03-31,Esporte e Lazer,Bola de Futebol,4,38.09,152.36
1096,2025-03-31,Vestuário,Jaqueta,1,144.17,144.17
1718,2025-03-31,Casa e Decoração,Jogo de Panelas,2,271.94,543.88
1115,2025-04-01,Vestuário,Calça Jeans,3,63.35,190.05
1742,2025-04-01,Esporte e Lazer,Kit Yoga,1,155.9,155.9
1575,2025-04-01,Vestuário,Tênis,4,120.14,480.56
1826,2025-04-01,Alimentos,Barra de Cereal,2,31.37,62.74
1990,2025-04-01,Vestuário,Camiseta,4,223.33,893.32
2197,2025-04-03,Esporte e Lazer,Garrafa Térmica,2,264.17,528.34
1618,2025-04-03,Alimentos,Chocolate,2,10.59,21.18
1929,2025-04-03,Casa e Decoração,Luminária,4,125.94,503.76
1598,2025-04-03,Esporte e Lazer,Tênis de Corrida,3,88.73,266.19
1959,2025-04-04,Esporte e Lazer,Garrafa Térmica,1,190.94,190.94
1086,2025-04-04,Casa e Decoração,Almofada,4,34.63,138.52
1882,2025-04-04,Casa e Decoração,Luminária,4,231.35,925.4
1489,2025-04-05,Alimentos,Azeite Extra Virgem,4,46.64,186.56
1788,2025-04-05,Casa e Decoração,Tapete,2,265.28,530.56
1330,2025-04-05,Alimentos,Café Especial,1,53.01,53.01
2063,2025-04-05,Eletrônicos,Fone Bluetooth,3,397.43,1192.29
1034,2025-04-06,Eletrônicos,Mouse Sem Fio,1,100.77,100.77
2025,2025-04-06,Eletrônicos,Fone Bluetooth,2,263.37,526.74
1776,2025-04-06,Alimentos,Barra de Cereal,1,16.1,16.1
1933,2025-04-06,Esporte e Lazer,Garrafa Térmica,2,189.29,378.58
1546,2025-04-07,Vestuário,Tênis,3,62.15,186.45
1793,2025-04-07,Esporte e Lazer,Tênis de Corrida,4,156.47,625.88
1135,2025-04-08,Eletrônicos,Carregador Portátil,1,84.38,84.38
2141,2025-04-08,Esporte e Lazer,Garrafa Térmica,2,293.43,586.86
1802,2025-04-08,Eletrônicos,Carregador Portátil,2,171.99,343.98
1539,2025-04-08,Alimentos,Café Especial,4,13.11,52.44
2169,2025-04-09,Vestuário,Jaqueta,3,136.53,409.59
1697,2025-04-10,Esporte e Lazer,Kit Yoga,5,36.68,183.4
1522,2025-04-10,Eletrônicos,Smartwatch,4,122.03,488.12
1002,2025-04-10,Alimentos,Barra de Cereal,5,58.5,292.5
1686,2025-04-10,Vestuário,Jaqueta,3,131.1,393.3
1036,2025-04-11,Eletrônicos,Mouse Sem Fio,1,165.37,165.37
1554,2025-04-11,Casa e Decoração,Luminária,3,268.25,804.75
1170,2025-04-11,Casa e Decoração,Luminária,2,95.98,191.96
1417,2025-04-12,Vestuário,Tênis,5,56.68,283.4
1331,2025-04-12,Eletrônicos,Mouse Sem Fio,3,233.76,701.28
1835,2025-04-12,Esporte e Lazer,Garrafa Térmica,5,47.91,239.55
1704,2025-04-12,Eletrônicos,Mouse Sem Fio,4,83.18,332.72
1144,2025-04-13,Casa e Decoração,Luminária,2,189.28,378.56
1000,2025-04-13,Casa e Decoração,Almofada,3,240.52,721.56
1268,2025-04-13,Eletrônicos,Smartwatch,3,259.42,778.26
1707,2025-04-14,Casa e Decoração,Luminária,4,63.9,255.6
1668,2025-04-14,Eletrônicos,Smartwatch,4,210.27,841.08
1970,2025-04-14,Alimentos,Azeite Extra Virgem,4,39.86,159.44
1291,2025-04-15,Alimentos,Azeite Extra Virgem,4,33.83,135.32
1983,2025-04-15,Esporte e Lazer,Garrafa Térmica,2,258.06,516.12
1615,2025-04-15,Vestuário,Calça Jeans,3,164.67,494.01
1207,2025-04-16,Eletrônicos,Mouse Sem Fio,2,102.05,204.1
1426,2025-04-16,Eletrônicos,Carregador Portátil,4,191.22,764.88
2065,2025-04-16,Casa e Decoração,Tapete,3,64.01,192.03
1936,2025-04-16,Esporte e Lazer,Garrafa Térmica,2,173.99,347.98
1938,2025-04-16,Esporte e Lazer,Tênis de Corrida,1,330.64,330.64
1147,2025-04-16,Alimentos,Café Especial,5,49.82,249.1
1078,2025-04-16,Alimentos,Café Especial,3,31.95,95.85
1527,2025-04-17,Casa e Decoração,Luminária,2,181.74,363.48
1685,2025-04-17,Alimentos,Café Especial,3,53.33,159.99
1827,2025-04-17,Eletrônicos,Carregador Portátil,1,356.86,356.86
1285,2025-04-17,Vestuário,Camiseta,2,47.71,95.42
1366,2025-04-17,Esporte e Lazer,Kit Yoga,5,198.39,991.95
1831,2025-04-17,Esporte e Lazer,Kit Yoga,4,161.3,645.2
1622,2025-04-17,Vestuário,Tênis,3,56.3,168.9
2024,2025-04-18,Casa e Decoração,Almofada,2,257.94,515.88
1805,2025-04-18,Alimentos,Chocolate,3,42.43,127.29
1492,2025-04-18,Eletrônicos,Mouse Sem Fio,5,131.22,656.1
1653,2025-04-18,Casa e Decoração,Tapete,2,162.68,325.36
1837,2025-04-19,Casa e Decoração,Jogo de Panelas,3,247.58,742.74
1754,2025-04-19,Casa e Decoração,Jogo de Panelas,2,270.99,541.98
1887,2025-04-20,Esporte e Lazer,Kit Yoga,4,292.72,1170.88
1205,2025-04-21,Casa e Decoração,Jogo de Panelas,4,57.6,230.4
1712,2025-04-21,Alimentos,Café Especial,3,51.49,154.47
1773,2025-04-21,Eletrônicos,Carregador Portátil,5,259.23,1296.15
1163,2025-04-21,Alimentos,Azeite Extra Virgem,4,15.36,61.44
1913,2025-04-22,Eletrônicos,Carregador Portátil,3,303.88,911.64
2026,2025-04-22,Alimentos,Azeite Extra Virgem,3,51.42,154.26
1047,2025-04-22,Eletrônicos,Mouse Sem Fio,4,163.47,653.88
1143,2025-04-22,Esporte e Lazer,Tênis de Corrida,2,286.64,573.28
1846,2025-04-22,Esporte e Lazer,Tênis de Corrida,5,258.59,1292.95
1160,2025-04-23,Alimentos,Café Especial,4,20.47,81.88
1306,2025-04-23,Eletrônicos,Fone Bluetooth,2,282.88,565.76
2152,2025-04-23,Esporte e Lazer,Garrafa Térmica,1,132.38,132.38
2163,2025-04-24,Eletrônicos,Carregador Portátil,3,350.0,1050.0
1379,2025-04-24,Vestuário,Camiseta,2,222.47,444.94
1432,2025-04-24,Esporte e Lazer,Bola de Futebol,1,53.48,53.48
2174,2025-04-25,Alimentos,Azeite Extra Virgem,5,39.69,198.45
1428,2025-04-25,Esporte e Lazer,Garrafa Térmica,4,104.19,416.76
1919,2025-04-26,Alimentos,Azeite Extra Virgem,5,58.81,294.05
1511,2025-04-26,Eletrônicos,Carregador Portátil,4,315.41,1261.64
1543,2025-04-26,Casa e Decoração,Luminária,3,285.59,856.77
1960,2025-04-26,Eletrônicos,Mouse Sem Fio,2,327.54,655.08
1454,2025-04-26,Esporte e Lazer,Kit Yoga,3,159.59,478.77
1746,2025-04-27,Alimentos,Azeite Extra Virgem,1,32.22,32.22
1392,2025-04-27,Esporte e Lazer,Bola de Futebol,1,148.56,148.56
1120,2025-04-27,Vestuário,Tênis,5,243.67,1218.35
1353,2025-04-27,Vestuário,Tênis,4,223.42,893.68
1363,2025-04-28,Vestuário,Camiseta,2,180.57,361.14
1405,2025-04-28,Esporte e Lazer,Bola de Futebol,4,99.13,396.52
1141,2025-04-28,Alimentos,Azeite Extra Virgem,2,52.61,105.22
1517,2025-04-28,Esporte e Lazer,Bola de Futebol,1,327.13,327.13
1219,2025-04-28,Casa e Decoração,Jogo de Panelas,5,79.8,399.0
1794,2025-04-28,Alimentos,Café Especial,2,31.64,63.28
2161,2025-04-28,Vestuário,Jaqueta,2,182.28,364.56
1701,2025-04-28,Vestuário,Camiseta,4,60.97,243.88
1082,2025-04-28,Eletrônicos,Mouse Sem Fio,5,169.58,847.9
1972,2025-04-29,Esporte e Lazer,Kit Yoga,4,265.2,1060.8
1922,2025-04-29,Eletrônicos,Mouse Sem Fio,5,99.97,499.85
1674,2025-04-30,Alimentos,Barra de Cereal,5,39.16,195.8
1585,2025-04-30,Esporte e Lazer,Bola de Futebol,1,117.72,117.72
1238,2025-04-30,Alimentos,Barra de Cereal,1,34.24,34.24
1689,2025-04-30,Vestuário,Jaqueta,5,189.74,948.7
1031,2025-05-01,Casa e Decoração,Almofada,1,112.29,112.29
2013,2025-05-02,Casa e Decoração,Tapete,5,148.31,741.55
1248,2025-05-02,Vestuário,Tênis,3,78.72,236.16
1126,2025-05-02,Casa e Decoração,Tapete,2,134.83,269.66
1081,2025-05-02,Eletrônicos,Carregador Portátil,2,156.73,313.46
1484,2025-05-02,Eletrônicos,Mouse Sem Fio,1,254.09,254.09
