id_usuario,plano,horas_assistidas,dispositivo_principal,score_satisfacao,cancelou_assinatura
USR-0166,Básico,59.2,Smart TV,2,Sim
USR-0167,Premium,24.9,Smart TV,7,Sim
USR-0168,Básico,13.8,Computador,9,Não
USR-0169,Premium,21.1,Computador,2,Não
USR-0170,Padrão,20.1,Smart TV,6,Não
USR-0171,Básico,71.4,Smart TV,5,Não
USR-0172,Padrão,26.6,Smartphone,1,Sim
USR-0173,Premium,100.8,Smart TV,9,Não
USR-0174,Básico,80.0,Computador,4,Não
USR-0175,Básico,35.4,Tablet,1,Não
USR-0176,Premium,12.0,Smartphone,3,Não
USR-0177,Premium,13.3,Smart TV,1,Não
USR-0178,Padrão,18.8,Smartphone,8,Não
USR-0179,Premium,42.5,Tablet,8,Não
USR-0180,Básico,19.2,Smart TV,8,Não
USR-0181,Básico,37.8,Tablet,10,Não
USR-0182,Básico,3.4,Computador,4,Não
USR-0183,Básico,42.8,Smartphone,10,Não
USR-0184,Premium,52.0,Smart TV,7,Não
USR-0185,Premium,32.3,Smart TV,7,Sim
USR-0186,Básico,18.9,Smartphone,4,Não
USR-0187,Básico,25.9,Computador,4,Não
USR-0188,Básico,19.7,Tablet,2,Não
USR-0189,Premium,9.5,Smartphone,10,Não
USR-0190,Padrão,37.4,Smart TV,2,Não
USR-0191,Premium,20.0,Smart TV,8,Não
USR-0192,Básico,23.2,Smartphone,7,Não
USR-0193,Básico,36.1,Tablet,9,Sim
USR-0194,Básico,22.1,Smart TV,5,Sim
USR-0195,Premium,19.2,Smart TV,6,Não
USR-0196,Padrão,26.2,Smartphone,1,Sim
USR-0197,Básico,71.6,Smart TV,1,Não
USR-0198,Básico,109.6,Smartphone,1,Não
USR-0199,Básico,48.7,Computador,3,Não
USR-0200,Básico,8.0,Smart TV,2,Não
USR-0201,Básico,33.2,Computador,9,Não
USR-0202,Premium,20.5,Smart TV,1,Não
USR-0203,Básico,67.7,Computador,4,Não
USR-0204,Básico,45.8,Smartphone,4,Não
USR-0205,Básico,54.3,Smart TV,3,Não
USR-0206,Premium,25.1,Smart TV,1,Não
USR-0207,Premium,20.7,Smartphone,8,Sim
USR-0208,Básico,15.3,Tablet,9,Não
USR-0209,Premium,59.4,Smartphone,5,Não
USR-0210,Premium,70.8,Tablet,5,Sim
USR-0211,Padrão,19.5,Smartphone,9,Não
USR-0212,Padrão,37.3,Smartphone,5,Não
USR-0213,Padrão,19.8,Smart TV,8,Não
USR-0214,Básico,6.4,Tablet,5,Sim
USR-0215,Básico,36.7,Computador,1,Não
USR-0216,Padrão,30.8,Tablet,4,Sim
USR-0217,Padrão,25.2,Computador,7,Não
USR-0218,Padrão,48.5,Smartphone,10,Não
USR-0219,Básico,132.2,Smart TV,4,Não
USR-0220,Básico,61.3,Smartphone,4,Não
USR-0221,Básico,24.2,Computador,5,Não
USR-0222,Premium,35.6,Smartphone,3,Sim
USR-0223,Padrão,8.6,Smartphone,7,Não
USR-0224,Padrão,57.9,Tablet,2,Não
USR-0225,Básico,15.4,Tablet,3,Não
USR-0226,Básico,14.7,Smart TV,3,Não
USR-0227,Básico,55.4,Tablet,5,Não
USR-0228,Padrão,5.9,Smart TV,9,Não
USR-0229,Padrão,58.3,Tablet,6,Não
USR-0230,Padrão,86.8,Tablet,4,Não
USR-0231,Padrão,25.1,Computador,8,Não
USR-0232,Básico,26.8,Smartphone,4,Sim
USR-0233,Básico,74.1,Tablet,3,Não
USR-0234,Padrão,27.8,Computador,10,Não
USR-0235,Padrão,68.4,Computador,3,Não
USR-0236,Padrão,93.8,Smartphone,5,Não
USR-0237,Básico,81.5,Computador,6,Não
USR-0238,Padrão,45.1,Computador,4,Não
USR-0239,Padrão,37.7,Computador,7,Não
USR-0240,Padrão,76.6,Smart TV,6,Não
USR-0241,Padrão,47.6,Computador,5,Não
USR-0242,Básico,33.6,Smart TV,6,Não
USR-0243,Premium,52.7,Tablet,4,Sim
USR-0244,Padrão,53.8,Smart TV,6,Não
USR-0245,Padrão,8.9,Tablet,5,Não
USR-0246,Básico,67.7,Smartphone,1,Não
USR-0247,Básico,34.0,Computador,10,Sim
USR-0248,Premium,50.9,Tablet,4,Sim
USR-0249,Básico,72.1,Tablet,8,Não
USR-0250,Premium,21.6,Smartphone,4,Não
